timestamp,price,quantity,buyer,seller,spread
2832,100.86,1,0,27,0.8700000000000045
2841,100.86,1,58,27,0.8700000000000045
2841,100.86,1,58,44,0.8700000000000045
2842,99.52,3,4,38,0.8700000000000045
2852,99.52,3,9,30,0.8700000000000045
2855,99.52,2,9,15,0.8700000000000045
2861,99.52,1,9,37,0.8700000000000045
2867,99.52,2,9,0,0.8700000000000045
2871,100.86,2,0,44,0.8700000000000045
2874,99.52,1,9,30,0.8700000000000045
2878,100.86,1,39,44,0.8700000000000045
2883,99.52,1,9,51,0.8700000000000045
2883,99.52,2,9,51,0.8700000000000045
2883,99.52,1,9,29,0.8700000000000045
2884,100.86,1,39,5,0.8700000000000045
2885,100.86,4,17,5,0.8700000000000045
2889,99.52,2,9,32,0.8700000000000045
2889,99.52,2,8,32,0.8700000000000045
2891,99.52,1,8,51,0.8700000000000045
2893,99.52,1,8,43,0.8700000000000045
2894,100.86,2,0,10,0.8700000000000045
2896,99.52,1,8,30,0.8700000000000045
2898,99.52,2,8,18,0.8700000000000045
2899,99.52,1,8,32,0.8700000000000045
2910,100.86,1,17,10,0.8700000000000045
2913,99.52,2,8,0,0.8700000000000045
2917,99.52,4,9,30,0.8700000000000045
2917,99.52,1,9,38,0.8700000000000045
2917,99.51,3,8,38,0.8700000000000045
2919,100.86,1,40,10,0.8700000000000045
2927,100.86,1,17,10,0.8700000000000045
2934,99.51,1,8,29,0.8700000000000045
2935,99.51,1,8,30,0.8700000000000045
2939,99.51,2,36,0,0.8700000000000045
2942,100.86,2,17,10,0.8700000000000045
2945,99.51,1,36,37,0.8700000000000045
2945,99.51,2,10,18,0.8700000000000045
2945,99.51,2,10,51,0.8700000000000045
2962,99.51,1,10,36,0.8700000000000045
2962,99.51,2,18,36,0.8700000000000045
2964,99.51,1,8,15,0.8700000000000045
2974,100.86,1,17,10,0.8700000000000045
2975,99.51,1,8,18,0.8700000000000045
2997,99.51,3,8,51,0.8700000000000045
2997,99.51,1,42,51,0.8700000000000045
3005,99.51,1,42,0,0.8700000000000045
